week,date,revenue,tv_spend,search_spend,social_spend,display_spend,email_spend
0,2021-01-04,489.27559045988994,44.89928812704615,24.947919672974265,20.78627002638927,16.83281098503568,6.066318567156297
1,2021-01-11,498.0788804419048,24.250293245429297,14.108481884425672,16.47333682252193,19.64798385782101,5.695629022806679
2,2021-01-18,531.6604543277829,35.86942442615442,23.911751712088307,22.787331897304615,10.784192203652005,4.37635920391757
3,2021-01-25,498.2965565027336,23.679509753390814,19.046744712474204,12.861277982359182,6.189485878139444,5.773422183589606
4,2021-02-01,550.3313168058385,36.52101109011971,25.856235467336596,18.028525780630208,11.068548071412168,4.8808526150212295
5,2021-02-08,515.4250392156376,32.69465676274104,23.7543449436563,29.689531769681246,11.141331150477992,4.12452669161528
6,2021-02-15,598.3295183325039,28.903534716393366,29.103230788234008,19.003858841813738,11.430228476933229,6.766832721821302
7,2021-02-22,533.132883543202,29.71466231705196,23.653873455693223,24.44946527972778,8.659835874234455,6.586896989899852
8,2021-03-01,530.8866147567337,25.41648613199427,12.139798721733797,18.411840801779437,13.738683427429432,3.3199387329478833
9,2021-03-08,613.678506952315,33.122505410374565,19.665234135508996,20.613496928984084,13.573522125858258,5.815973043757309
10,2021-03-15,599.8889338595521,26.81511563761454,14.139964037025921,17.744475625232887,7.51678314054208,7.493552078849885
11,2021-03-22,576.6311207264533,21.42075965362926,17.408600788168627,17.233165884761082,14.097590195084663,7.588835608344481
12,2021-03-29,603.1336590532777,21.054436979762666,27.55614216638361,14.492329214735612,18.158054945837673,7.538755264327858
13,2021-04-05,636.8092193132239,31.208115424054835,23.18766905448848,19.93635611530899,12.51588099731118,6.05836981035219
14,2021-04-12,575.344166454647,41.053638794873045,16.50534785710627,14.168082648664043,10.988024513794482,4.732432008046273
15,2021-04-19,605.7394406415921,31.11994129501407,14.931413167798006,20.99513356341043,11.573990356777436,4.374451758962909
16,2021-04-26,575.1205374904363,29.16953171723082,20.163910464381303,22.883791520006596,13.845770300905684,6.516907357125536
17,2021-05-03,546.6250909835439,32.0007829772178,13.917199253094362,19.649391332567536,6.807985183478346,6.568920051547744
18,2021-05-10,573.9456601451038,39.14201219194777,16.644298613017096,16.711880698999387,12.493172108931907,7.930996667407598
19,2021-05-17,560.0970103462612,31.535677509546993,21.56004735775622,20.042845106889132,10.82860815161157,7.649969475513125
20,2021-05-24,546.6883001125407,27.12350938416384,25.77656018053348,16.610971250041143,17.543475038868138,5.801657015203242
21,2021-05-31,572.7927023480928,37.74402097041922,23.043807361122198,22.20996206459317,11.477481798585126,4.133691181708696
22,2021-06-07,527.9508637707197,33.0012950692313,8.5435524570095,9.758672621031943,17.00366283335856,5.521340104483653
23,2021-06-14,572.6849666672484,40.750291943971945,21.5218336451513,16.489766843466093,8.688777906653979,6.325846792215787
24,2021-06-21,601.4291768287454,31.282641060553342,20.36016786616289,9.04134602194201,13.761777500408376,5.696875131915894
25,2021-06-28,606.2813453889883,21.4287167779565,22.069451426863466,11.272226263977577,12.958200791373686,5.133158837883516
26,2021-07-05,680.1210523579257,20.422885605280346,28.081048408256038,24.137380034162593,9.392858256405653,6.379327222454848
27,2021-07-12,644.7258059570493,41.55649552561875,9.683808615976286,22.028332418872587,12.532188343910821,5.2440633878840845
28,2021-07-19,668.7921390259584,42.06566004548308,17.044482874044473,14.762338950218444,15.637556510494802,5.057900874411939
29,2021-07-26,679.5787084341965,28.743365507021796,22.954531613966772,11.238734447815963,11.028624887140198,6.46717925145516
30,2021-08-02,618.7681706302666,27.317688752048085,12.092028002730288,4.659620229712569,6.9241120524907105,5.3970111298061925
31,2021-08-09,681.9051785924635,40.23011004569541,27.379745240267546,15.554270214303145,11.947311520567663,6.366156583467528
32,2021-08-16,635.8582259786579,22.250680225695586,21.841783063503293,28.89186755511331,9.292730715622461,6.409806034278184
33,2021-08-23,603.4449054376162,23.736910867309216,24.23291992921702,19.956979221586412,10.972977184008354,4.290856498362638
34,2021-08-30,602.5380015557172,34.50328756282331,17.145281692391027,15.481924712777298,11.755236690944637,5.278138314201882
35,2021-09-06,571.9392381592356,27.237764139982872,24.068818449831053,20.09286094275138,6.883043351953448,8.156665409874694
36,2021-09-13,520.7219924667279,29.9641469329595,25.342357779945193,10.975687411525007,7.153024982037966,4.256880730898569
37,2021-09-20,534.5005786247033,28.855899710328412,21.164390100685843,16.66204486786064,13.446200506576576,2.8250183265442033
38,2021-09-27,533.2893292383299,32.363021841592534,21.17200446349348,18.447648628570825,10.431843911490958,3.207232270136233
39,2021-10-04,508.872816016355,39.852373029196016,21.351716196408628,17.61254706680528,4.305766974538299,6.043664919865003
40,2021-10-11,539.6359368622882,30.634094348312217,15.683273676303092,21.55862754760536,14.354532109824405,6.0463759170490485
41,2021-10-18,570.855659745158,34.507571552938,19.262356598798235,19.550903518062235,12.817109265822719,5.823583716862319
42,2021-10-25,565.9242971746463,15.648795292782843,19.237387337738205,21.007467081485988,9.858375527890548,7.821284743392752
